rank,lemma,reading,score,model_score,correction_delta,band,core_rank,pmw,candidate_state,pos,pos_bucket,correction_types,display_form,admission_override,topic_stretch_allowed,correction_status,correction_rationale,manual_correction_active,translations,rank_base,frequency_blend,learner_source_confidence,goethe_stem_learner_source_known,openlingo_learner_source_known,wordfreq_de_commonness_score,opensubtitles_cistem_frequency_score,translation_count_score,reverse_support_score
1,dies,,0.07247,0.07247,0.0,0.05-0.10,4.0,4171.700337,normal_vocab,PRO:DEM:AKK:SIN:NEU:B/S|PRO:DEM:NOM:SIN:NEU:B/S,other,,,,,,,,this; this and that; speculate about what would happen if this or that were to occur,0.144341,0.109355,0.832,1.0,0.0,0.749333,0.833458,0.540476,0.333333
2,ihr,,0.080118,0.080118,0.0,0.05-0.10,2.0,4555.045774,normal_vocab,PRO:PER:DAT:SIN:FEM|PRO:PER:NOM:PLU:ALG:2:B|PRO:POS:AKK:SIN:NEU:BEG|PRO:POS:NOM:SIN:MAS:BEG|PRO:POS:NOM:SIN:NEU:BEG,other,,,,,,,,yours; your; answering your question is not easy.,0.098528,0.079729,0.9568,0.0,1.0,0.829333,0.886312,1.0,1.0
3,kein,,0.083086,0.083086,0.0,0.05-0.10,29.0,1844.206132,normal_vocab,PRO:IND:AKK:SIN:NEU:BEG|PRO:IND:NOM:SIN:MAS:BEG|PRO:IND:NOM:SIN:NEU:BEG,other,,,,,,,,,0.305034,0.238849,0.986392,1.0,1.0,0.788,0.860019,0.0,0.0
4,ander,,0.08667,0.08667,0.0,0.05-0.10,7.0,3385.800434,normal_vocab,,other,restricted_admission,,fragment_or_nonlemma_form,False,active,"Reviewed restricted label and tight signal-probe hit: learner-source evidence exists, but the row has no POS, no translations, and behaves like a fragment rather than standalone SRS vocabulary.",yes,,0.186493,0.143053,0.97408,1.0,1.0,0.430667,0.804323,0.0,0.0
5,er,,0.091828,0.091828,0.0,0.05-0.10,26.0,1972.12714,normal_vocab,PRO:PER:NOM:SIN:MAS,other,,,,,,,,he; he and his,0.295585,0.230275,0.76,0.0,0.0,0.894667,0.908312,0.428317,0.333333
6,der,,0.094047,0.094047,0.0,0.05-0.10,19.0,2362.43237,normal_vocab,ART:DEF:DAT:SIN:FEM|ART:DEF:GEN:PLU:FEM|ART:DEF:GEN:PLU:MAS|ART:DEF:GEN:PLU:NEU|ART:DEF:GEN:SIN:FEM|ART:DEF:NOM:SIN:MAS|PRO:DEM:DAT:SIN:FEM|PRO:DEM:NOM:SIN:MAS|PRO:PER:NOM:SIN:MAS,other,,,,,,,,the; that; who,0.26867,0.206377,0.76,0.0,0.0,0.994667,0.924066,0.810714,1.0
7,sollen,,0.102241,0.102241,0.0,0.10-0.15,12.0,3062.726811,normal_vocab,VER:MOD:1:PLU:KJ1|VER:MOD:1:PLU:PRÄ|VER:MOD:3:PLU:KJ1|VER:MOD:3:PLU:PRÄ|VER:MOD:INF,verb,,,,,,,,shall; should; you should have seen it!,0.230036,0.172053,0.986392,1.0,1.0,0.734667,0.069005,1.0,1.0
8,mann,,0.105809,0.105809,0.0,0.10-0.15,42.0,1591.844013,normal_vocab,SUB:AKK:SIN:MAS|SUB:DAT:SIN:MAS|SUB:NOM:SIN:MAS,noun,,,,,,,,husband; man; the right man in the right place,0.33732,0.264017,0.986392,1.0,1.0,0.764,0.812048,0.897712,0.666667
9,gut,,0.107117,0.107117,0.0,0.10-0.15,14.0,2735.755703,normal_vocab,ADJ:PRD:GRU|SUB:AKK:SIN:NEU|SUB:DAT:SIN:NEU|SUB:NOM:SIN:NEU|ZUS,noun,,,,,,,,cum laude; good; non-rivalrous good,0.242869,0.184798,0.98056,0.0,1.0,0.812,0.860109,1.0,1.0
10,müssen,,0.107397,0.107397,0.0,0.10-0.15,33.0,1816.366957,normal_vocab,VER:MOD:1:PLU:KJ1|VER:MOD:1:PLU:PRÄ|VER:MOD:3:PLU:KJ1|VER:MOD:3:PLU:PRÄ|VER:MOD:INF,verb,,,,,,,,want; have got to; have to,0.316259,0.245789,0.98056,0.0,1.0,0.770667,0.0,0.698555,1.0
11,woche,,0.108494,0.108494,0.0,0.10-0.15,55.0,1422.999418,normal_vocab,SUB:AKK:SIN:FEM|SUB:DAT:SIN:FEM|SUB:GEN:SIN:FEM|SUB:NOM:SIN:FEM,noun,,,,,,,,week; twice a week; during the week,0.361011,0.282693,0.986392,1.0,1.0,0.717333,0.0,0.627474,0.333333
12,stadt,,0.108818,0.108818,0.0,0.10-0.15,49.0,1493.710922,normal_vocab,SUB:AKK:SIN:FEM|SUB:DAT:SIN:FEM|SUB:GEN:SIN:FEM|SUB:NOM:SIN:FEM,noun,,,,,,,,town; in town; all over the town,0.350847,0.274661,0.988336,1.0,1.0,0.754667,0.700744,0.810714,0.666667
13,kind,,0.111134,0.111134,0.0,0.10-0.15,44.0,1582.796281,normal_vocab,SUB:AKK:SIN:NEU|SUB:DAT:SIN:NEU|SUB:NOM:SIN:NEU,noun,,,,,,,,child; bairn; children aged three,0.341398,0.266547,0.986392,1.0,1.0,0.702667,0.758866,1.0,1.0
14,ich,,0.112704,0.112704,0.0,0.10-0.15,47.0,1557.462632,normal_vocab,PRO:PER:NOM:SIN:ALG|SUB:AKK:PLU:NEU|SUB:AKK:SIN:NEU|SUB:DAT:PLU:NEU|SUB:DAT:SIN:NEU|SUB:GEN:PLU:NEU|SUB:GEN:SIN:NEU|SUB:NOM:PLU:NEU|SUB:NOM:SIN:NEU,noun,,,,,,,,i; me; my sister and i,0.347186,0.270543,0.892,0.0,0.0,0.944,1.0,1.0,0.666667
15,deutsch,,0.113913,0.113913,0.0,0.10-0.15,21.0,2118.004416,normal_vocab,ADJ:PRD:GRU|SUB:AKK:SIN:NEU|SUB:DAT:SIN:NEU|SUB:GEN:SIN:NEU|SUB:NOM:SIN:NEU,noun,,,,,,,,german; converse in german; talk to sb. in german,0.277218,0.216579,0.988336,1.0,1.0,0.698667,0.624325,1.0,0.333333
