rank,lemma,reading,score,model_score,correction_delta,band,spalex_rank,candidate_state,pos,pos_bucket,correction_types,display_form,admission_override,topic_stretch_allowed,correction_status,correction_rationale,manual_correction_active,review_flags,translations,wordfreq_zipf,learner_source_known,learner_source_count,cognate_rescue,false_friend_caution,pos_function_risk,pos_other_risk,dict_marked_usage_risk,weak_form_risk,dictionary_sense_count,dictionary_entry_count,dictionary_marked_terms
1,una,,0.04,0.116436,-0.076436,0.00-0.05,7.0,normal_vocab,determiner,other,score_override,,normal_vocab,True,active,Reviewed core article/number form; exact override restores intended early placement.,yes,"pos_other,function_or_grammar,reviewed_label,manual_correction","one (an indefinite plural pronoun using a singular feminine item, used for females)",6.95,1.0,0.333333,0.0,0.0,1.0,1.0,0.0,0.0,1,1,
2,padre,,0.042235,0.042235,0.0,0.00-0.05,165.0,normal_vocab,noun,noun,,,,,,,,marked_usage,"father; cool, acceptable, easy; very big, enormous, huge",5.36,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5,3,slang
3,día,,0.044222,0.044222,0.0,0.00-0.05,84.0,normal_vocab,noun,noun,,,,,,,,,day (any period of 24 hours); day (a period from midnight to the following midnight); day (rotational period of a planet),5.96,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,5,1,
4,nuevo,,0.044474,0.044474,0.0,0.00-0.05,82.0,normal_vocab,adjective,adjective,,,,,,,,,"new; brand new, all-new; fresh",5.77,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,
5,hacer,,0.044787,0.044787,0.0,0.00-0.05,62.0,normal_vocab,verb,verb,,,,,,,,,to do; to make (something); to make (e.g. someone do something or feel a certain way.),6.07,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,
6,trabajo,,0.044893,0.044893,0.0,0.00-0.05,79.0,normal_vocab,noun,noun,,,,,,,,,"work, job; work; school assignment, often a presentation",5.81,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,
7,los,,0.047385,0.047385,0.0,0.00-0.05,2.0,normal_vocab,determiner,other,,,,,,,,"pos_other,function_or_grammar,reviewed_label",plural masculine or neuter pronoun,7.18,1.0,0.333333,0.0,0.0,1.0,1.0,0.0,0.0,1,1,
8,las,,0.05,0.093345,-0.043345,0.05-0.10,4.0,normal_vocab,determiner,other,score_override,,normal_vocab,True,active,Reviewed core feminine plural article/pronoun form; exact override restores intended beginner placement.,yes,"pos_other,function_or_grammar,reviewed_label,manual_correction",feminine plural definite article; the; feminine plural pronoun,6.99,1.0,0.333333,0.0,0.0,1.0,1.0,0.0,0.0,2,2,
9,hoy,,0.05,0.103022,-0.053022,0.05-0.10,54.0,normal_vocab,adverb,adverb,score_override,,normal_vocab,True,active,Reviewed core 'today' adverb; model placed it slightly too late.,yes,"reviewed_label,manual_correction",today,5.74,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,1,1,
10,mucho,,0.054333,0.054333,0.0,0.05-0.10,91.0,normal_vocab,adverb,adverb,,,,,,,,,"much, a lot of; many, a lot of; much, a lot, far, way",5.95,1.0,0.666667,0.499477,0.239422,0.0,0.0,0.0,0.0,6,3,
11,hombre,,0.059461,0.059461,0.0,0.05-0.10,97.0,normal_vocab,noun,noun,,,,,,,,marked_usage,"man, (adult male human); man, (all humans collectively); mankind, humankind; man, (individual of the species homo sapiens, the genus homo, or the subtribe hominina)",5.58,1.0,0.666667,0.210343,0.263915,0.0,0.0,1.0,0.0,9,2,slang
12,muy,,0.06,0.134807,-0.074807,0.05-0.10,22.0,normal_vocab,adverb,adverb,score_override,,normal_vocab,True,active,"Reviewed ultra-core intensifier; model placed it too late, and missing translations should not keep it out of the earliest beginner band.",yes,"missing_translation,manual_correction",,6.21,1.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
13,decir,,0.062079,0.062079,0.0,0.05-0.10,96.0,normal_vocab,verb,verb,,,,,,,,,"to say, to tell; to suggest; to show; to demonstrate",5.78,1.0,1.0,0.065222,0.040793,0.0,0.0,0.0,0.0,8,2,
14,dar,,0.066788,0.066788,0.0,0.05-0.10,163.0,normal_vocab,verb,verb,,,,,,,,marked_usage,"to give, to give out; to hand over; to hit (from any distance)",5.48,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,23,1,"informal,slang,vulgar"
